"Date","Open","High","Low","Close","Volume"
"Oct 24, 2013","3,302.30","3,375.00","3,290.05","3,309.00","810,070"
"Oct 23, 2013","3,320.00","3,338.80","3,279.00","3,320.00","820,198"
"Oct 22, 2013","3,338.00","3,364.20","3,325.40","3,339.00","901,095"
"Oct 21, 2013","3,333.00","3,377.70","3,265.10","3,331.30","1,172,921"
"Oct 18, 2013","3,286.00","3,323.90","3,261.00","3,308.50","1,368,097"
"Oct 17, 2013","3,330.20","3,357.90","3,260.00","3,269.35","1,439,126"
"Oct 15, 2013","3,324.00","3,367.05","3,312.80","3,362.70","1,152,665"
"Oct 14, 2013","3,256.00","3,335.55","3,256.00","3,310.00","1,528,964"
"Oct 11, 2013","3,335.00","3,338.00","3,156.80","3,278.30","5,161,325"
"Oct 10, 2013","3,125.10","3,160.95","3,090.75","3,153.00","2,179,336"
"Oct 9, 2013","3,027.00","3,131.40","3,010.00","3,120.00","2,171,474"
"Oct 8, 2013","3,040.30","3,052.00","3,022.30","3,040.00","2,247,864"
"Oct 7, 2013","3,015.00","3,039.75","3,006.40","3,032.55","1,224,418"
"Oct 4, 2013","3,026.25","3,039.00","3,005.00","3,017.00","919,102"
"Oct 3, 2013","3,035.00","3,047.00","3,020.00","3,039.00","1,835,839"
"Oct 1, 2013","3,030.00","3,038.30","3,003.00","3,021.10","663,777"
"Sep 27, 2013","3,024.00","3,051.00","2,991.00","3,011.00","712,696"
"Sep 26, 2013","3,034.00","3,036.85","3,001.00","3,014.30","1,335,305"
"Sep 25, 2013","3,031.80","3,035.00","2,992.65","3,000.10","1,010,097"
"Sep 24, 2013","3,030.00","3,031.00","2,996.90","3,014.05","1,469,032"
"Sep 23, 2013","3,005.00","3,043.95","3,001.05","3,023.95","1,110,797"
"Sep 20, 2013","3,000.00","3,032.00","2,983.50","2,990.00","998,964"
"Sep 19, 2013","2,999.00","3,035.00","2,992.30","3,010.00","1,915,976"
"Sep 18, 2013","3,025.00","3,029.25","3,005.00","3,017.00","929,977"
"Sep 17, 2013","3,017.00","3,029.95","2,991.00","3,018.00","1,003,410"
"Sep 16, 2013","3,025.00","3,057.95","2,980.10","2,994.80","791,523"
"Sep 13, 2013","3,060.25","3,065.85","3,013.30","3,029.10","1,156,923"
"Sep 12, 2013","3,105.00","3,119.10","3,048.00","3,068.00","869,680"
"Sep 11, 2013","3,145.00","3,172.95","3,107.75","3,120.00","1,143,210"
"Sep 10, 2013","3,032.00","3,188.00","3,032.00","3,158.90","2,734,892"
"Sep 6, 2013","3,005.90","3,071.90","3,005.90","3,021.00","1,683,241"
"Sep 5, 2013","3,096.70","3,096.70","2,995.10","3,002.80","1,182,134"
"Sep 4, 2013","3,059.70","3,139.90","3,055.60","3,099.00","1,122,425"
"Sep 3, 2013","3,072.00","3,094.50","3,016.80","3,036.00","783,414"
"Sep 2, 2013","3,077.10","3,127.60","3,064.60","3,085.00","640,630"
"Aug 30, 2013","3,092.00","3,122.90","3,037.50","3,107.45","1,584,820"
"Aug 29, 2013","3,070.00","3,126.95","3,061.00","3,074.00","2,510,786"
"Aug 28, 2013","3,052.00","3,130.00","3,052.00","3,121.00","1,791,212"
"Aug 27, 2013","3,032.00","3,080.00","3,031.90","3,062.00","1,065,694"
"Aug 26, 2013","3,019.95","3,049.85","3,008.50","3,035.00","696,443"
"Aug 23, 2013","3,005.00","3,019.95","2,982.30","3,011.00","687,358"
"Aug 22, 2013","2,989.00","3,036.45","2,964.00","3,032.00","1,370,727"
"Aug 21, 2013","2,994.80","2,994.80","2,922.10","2,975.20","940,823"
"Aug 20, 2013","3,020.00","3,021.00","2,982.50","3,006.00","1,295,257"
"Aug 19, 2013","2,990.10","3,026.95","2,950.95","2,999.95","657,416"
"Aug 16, 2013","3,020.00","3,039.95","2,967.65","2,985.30","1,510,952"
"Aug 14, 2013","3,070.00","3,094.90","3,042.55","3,081.50","1,151,401"
"Aug 13, 2013","3,008.10","3,094.00","3,008.00","3,087.00","1,291,789"
"Aug 12, 2013","2,976.00","3,020.00","2,971.00","3,019.80","949,297"
"Aug 8, 2013","2,940.00","2,978.00","2,940.00","2,956.90","720,671"
"Aug 7, 2013","2,975.00","3,002.80","2,951.25","2,970.85","812,951"
"Aug 6, 2013","3,008.00","3,012.00","2,951.05","2,987.00","1,253,979"
"Aug 5, 2013","2,998.80","3,025.00","2,996.50","3,008.75","1,062,848"
"Aug 2, 2013","2,985.00","3,020.00","2,981.10","3,006.00","1,495,287"
"Aug 1, 2013","2,988.00","2,995.15","2,956.75","2,969.00","1,086,329"
"Jul 31, 2013","2,969.00","2,991.60","2,928.20","2,972.00","1,475,916"
"Jul 30, 2013","2,931.00","2,973.00","2,931.00","2,950.05","792,026"
"Jul 29, 2013","2,910.00","2,944.00","2,910.00","2,919.25","545,369"
"Jul 26, 2013","2,930.00","2,953.00","2,902.60","2,910.00","862,455"
"Jul 25, 2013","2,909.00","2,945.35","2,901.00","2,909.55","897,211"
"Jul 24, 2013","2,880.00","2,927.00","2,880.00","2,908.00","609,410"
"Jul 23, 2013","2,890.00","2,917.15","2,890.00","2,897.90","771,060"
"Jul 22, 2013","2,822.20","2,894.90","2,822.00","2,876.35","843,892"
"Jul 19, 2013","2,803.00","2,865.00","2,803.00","2,844.95","2,050,355"
"Jul 18, 2013","2,754.00","2,817.50","2,738.85","2,794.35","1,634,837"
